IncidentID,IncidentYear,IncidentDate,Date,Address,City,State,NeighborhoodCouncil,ZipCode,CallReceived,CallDispatched,FirstUnitTurnout,FirstUnitOnscene,IncidentClosed,FireType,PropertyUseSpecific,PropertyUseGeneral,Fire_AreaOfOrigin,Fire_HeatSource,Fire_FirstItemIgnited,Fire_SpecificCause,Fire_GeneralCause,EstimatedPropertyValue,EstimatedPropertyLoss,EstimatedContentLoss,EstimatedTotalFireLoss,Structure_FireFloorOfOrigin,Structure_FloorOfOriginDescription,Structure_BuildingStatus,Structure_BurnDamage,Structure_SmokeDamage,Structure_AlarmInvolved,Structure_AlarmType,Structure_AlarmEffectiveness,Structure_NumberOfStories,Structure_NumberOfBasementLevels,Structure_ConstructionType,Structure_TotalSqFootage,Structure_NumberOfOccupants,Structure_NumberOfBusinesses,Structure_TotalSQFootBurned,Structure_TotalSQFootSmokeDamage,Mobile_VehicleMake,Mobile_VehicleModel,Mobile_VehicleYear,Fire_OutsideAreaAffected,Latitude,Longitude
646424,2011,2011-07-25T12:00:00Z,2011-07-25,3304 S 23RD ST,Tacoma,WA,Central,98405,0:00:00,0:00:28,0:01:39,0:04:52,0:09:46,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Unknown,Miscellaneous,0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 2     ,47.238123,-122.479108
744768,2012,2012-12-25T12:00:00Z,2012-12-25,510 S 70TH ST,Tacoma,WA,South End,98408,6:00:23,6:00:47,6:02:27,6:03:51,6:19:15,Mobile Property Fire,Passenger Vehicle,Mobile Property,Exterior of Vehicle,Incendiary Device,Oily Rags,Adult (18-64),Incendiary (Set Fire & Illegal Burn),5000,5000,500,5500,,,,,,,,,,,,,,,,,Nissan,Xterra,2000,Not Applicable,47.194011,-122.438031
785518,2013,2013-07-26T12:00:00Z,2013-07-26,2202 S CEDAR ST,Tacoma,WA,Central,98405,12:01:02,12:02:28,12:05:12,12:10:23,12:17:06,Other Outside Fire,Not Available,Not Available,Not Available,Cigarette or Smoking Materials,Not Available,Abandoned or Discarded Ashes or Tobacco,"""Heat Source"" misused or misplaced",0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 1,47.238744,-122.476662
686333,2012,2012-02-19T12:00:00Z,2012-02-19,6441 S TYLER ST,Tacoma,WA,South Tacoma,98409,18:11:41,18:12:14,18:13:45,18:16:54,18:36:51,Mobile Property Fire,Passenger Vehicle,Mobile Property,Engine Compartment of Vehicle,"Heat, Spark from Friction","Atomized liquid, Vaporized liquid, Aerosol",Vehicle Engine Failure / Malfunction,Mechanical Failure or Malfunction,5000,5000,0,5000,,,,,,,,,,,,,,,,,Cadillac,,1996,Not Applicable,47.19843,-122.492353
819436,2014,2014-01-15T12:00:00Z,2014-01-15,6TH AV/ST HELENS AV,Tacoma,WA,New Tacoma,98402,5:17:03,5:17:54,5:18:51,,5:26:58,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Lighter,Not Available,Persons Unknown,Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 10,47.25863,-122.4433
742175,2012,2012-12-11T12:00:00Z,2012-12-11,1403 62ND AV E,Fife,WA,,98424,14:53:03,14:54:18,14:56:03,14:59:04,15:11:34,Mobile Property Fire,Freight Hauling Vehicles (includes Cranes),Mobile Property,Engine Compartment of Vehicle,Electrical Arcing,"General Materials (ie;Wire,Transformer)",Equipment Failure (Electrical),Mechanical Failure or Malfunction,50000,1000,0,1000,,,,,,,,,,,,,,,,,Freightliner,,2000,Not Applicable,47.244068,-122.3469
711820,2012,2012-07-04T12:00:00Z,2012-07-04,E G ST/MCKINLEY WY,Tacoma,WA,East Side,98404,22:20:51,22:21:25,22:21:37,22:23:19,22:27:47,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Fireworks or Flare,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 200,47.23332,-122.4232
801875,2013,2013-10-15T12:00:00Z,2013-10-15,5210 S THOMPSON AV,Tacoma,WA,South End,98408,17:38:04,17:39:09,17:40:15,17:46:58,17:52:40,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Undetermined - 0,47.209048,-122.4445
670822,2011,2011-12-01T12:00:00Z,2011-12-01,901 S 68TH ST,Tacoma,WA,South End,98408,19:55:44,19:58:11,19:59:20,20:01:50,20:03:49,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Incendiary Device,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 2,47.19556,-122.445913
825089,2014,2014-02-13T12:00:00Z,2014-02-13,3100 PACIFIC HW E,Fife,WA,,98424,11:45:19,11:46:19,11:46:36,11:48:37,11:59:43,Structure Fire,Hotel/Motel,Residential,Living Room or Rec Room,Electrical Arcing,"General Materials (ie;Wire,Transformer)",Failure of/in Electrical System,Mechanical Failure or Malfunction,1395000,93,0,93,2,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,2,0,Wood Frame (Type V),15000,25,1,1,1,,,,Not Applicable,47.24317,-122.3875
841784,2014,2014-05-08T12:00:00Z,2014-05-08,5665 8TH ST E,Fife,WA,,98424,12:53:08,12:53:54,12:55:12,12:59:42,16:41:28,Mobile Property Fire,Freight Hauling Vehicles (includes Cranes),Mobile Property,Passenger Compartment of Vehicle,Electrical Arcing,"General Materials (ie;Wire,Transformer)",Equipment Failure (Electrical),Mechanical Failure or Malfunction,4000,4000,250,4250,,,,,,,,,,,,,,,,,Other Make,Fld,1996,Not Applicable,47.249975,-122.353458
781272,2013,2013-07-05T12:00:00Z,2013-07-05,3005 S 47TH ST,Tacoma,WA,South Tacoma,98409,12:55:49,12:56:43,12:57:37,13:06:02,13:09:28,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 20,47.21489,-122.475134
654504,2011,2011-09-04T12:00:00Z,2011-09-04,1720 E 67TH ST,Tacoma,WA,East Side,98404,9:48:35,9:49:18,9:50:22,9:54:42,10:15:49,Structure Fire,Nursing Home,Institution,Kitchen or Cooking area,"Spark, Ember or Flame from  Equipment","General Materials (ie;Wire,Transformer)",Equipment Failure (Electrical),Mechanical Failure or Malfunction,11700000,234,0,234,1,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to ROOM of origin,Yes,,,2,0,Wood Frame (Type V),100000,200,1,2,200,,,,Not Applicable,47.196078,-122.40581
758054,2013,2013-03-05T12:00:00Z,2013-03-05,724 S L ST,Tacoma,WA,Central,98405,16:40:54,16:41:55,16:43:34,16:45:00,16:59:23,Structure Fire,Multi-family (three or more units),Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Unknown,Miscellaneous,297600,186,300,486,1,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,2,0,Wood Frame (Type V),3200,16,0,2,2,,,,Not Applicable,47.25572,-122.454027
713507,2012,2012-07-13T12:00:00Z,2012-07-13,1319 E 72ND ST,Tacoma,WA,East Side,98404,7:42:13,7:43:22,7:44:03,7:48:10,7:52:02,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Cigarette or Smoking Materials,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 8,47.19174,-122.410997
642403,2011,2011-07-04T12:00:00Z,2011-07-04,502 E 40TH ST,Tacoma,WA,East Side,98404,21:59:45,21:59:59,22:01:17,22:02:39,22:11:23,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Fireworks or Flare,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 300,47.220793,-122.424984
755742,2013,2013-02-20T12:00:00Z,2013-02-20,3520 N 7TH ST,Tacoma,WA,North End,98406,14:12:53,14:13:27,14:14:19,14:15:51,14:22:38,Other Outside Fire,Not Available,Not Available,Not Available,Incendiary Device,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 3,47.25616,-122.482485
682118,2012,2012-01-28T12:00:00Z,2012-01-28,707 S 56TH ST,Tacoma,WA,South End,98408,17:11:34,17:12:19,17:13:41,17:16:02,17:44:55,Dumpster Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Juvenile (12-17),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 20,47.20639,-122.44027
708802,2012,2012-06-18T12:00:00Z,2012-06-18,315 MARTIN LUTHER KING JR WAY,Tacoma,WA,New Tacoma,98405,16:35:12,16:35:51,16:36:24,16:39:52,16:46:31,Mobile Property Fire,Freight Hauling Vehicles (includes Cranes),Mobile Property,Engine Compartment of Vehicle,Undetermined,Flammable/Combustible Liquid,Equipment Failure (Mechanical),Mechanical Failure or Malfunction,50000,1000,0,1000,,,,,,,,,,,,,,,,,Other Make,,2000,Not Applicable,47.260067,-122.453554
613687,2011,2011-02-04T12:00:00Z,2011-02-04,4616 45TH AV NE,Tacoma,WA,North East,98422,6:18:20,6:19:04,6:21:20,6:23:26,6:30:44,Structure Fire,Preschool,Educational,Laundry Area,"Radiated, Conducted Heat from  Equipment",Cloths/Fabric/Bedding Material/Rugs,Equipment Failure (Electrical),Mechanical Failure or Malfunction,530000,106,500,606,1,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to FLOOR of origin,Yes,,,1,0,Wood Frame (Type V),5000,10,1,1,1000,,,,Not Applicable,47.297965,-122.387455
652117,2011,2011-08-23T12:00:00Z,2011-08-23,4817 S 56TH ST,Tacoma,WA,South Tacoma,98409,4:55:03,4:55:23,4:56:38,5:00:47,5:48:01,Structure Fire,Multi-family (three or more units),Residential,Bathroom or Locker Room,"Spark, Ember or Flame from  Equipment","Structural Component (Wall,Floor,Rug,Ceiling,Studs)",Equipment Failure (Electrical),Mechanical Failure or Malfunction,133920,186,200,386,2,Normal Floor,Occupied and Operating,Confined to ROOM of origin,Confined to FLOOR of origin,No,Unit Detectors Only (Residential Occupancy),Failed to Alert Occupants,2,0,Wood Frame (Type V),1440,8,0,2,340,,,,Not Applicable,47.206516,-122.501177
711742,2012,2012-07-04T12:00:00Z,2012-07-04,1015 E F ST,Tacoma,WA,New Tacoma,98421,18:01:44,18:03:59,18:03:59,18:03:59,18:48:24,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Unknown,Miscellaneous,0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 0,47.25486,-122.428573
761901,2013,2013-03-26T12:00:00Z,2013-03-26,718 S 52ND ST,Tacoma,WA,South End,98408,15:26:53,15:29:06,15:30:53,15:33:42,15:44:00,Other Outside Fire,Not Available,Not Available,Not Available,Match,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 4,47.210019,-122.44108
